scheme,resolution_deg,task,model,fidelity_regions,median_absolute_gain_drift,max_absolute_gain_drift,median_relative_gain_drift,cost_regions,total_wall_s,total_compute_s,total_processed_points,total_point_hours,max_peak_rss_mb,resolution_cached_regions,relationship,countries,correlation,era,era_label,source_summary
capacity,0.5,classification,RandForest,19,0.0014620071799059,0.0105884271243094,0.0095343235648334,19,11.946527999010868,8.597337082901504,3415,59912760,616.546875,19,all_europe,11,0.447818107681838,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,0.5,classification,RandForest,19,0.0014620071799059,0.0105884271243094,0.0095343235648334,19,11.946527999010868,8.597337082901504,3415,59912760,616.546875,19,without_lithuania,10,0.508350697206014,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,0.5,regression,GradientBoosting,19,0.0035923784645146,0.0566730414324058,0.0080288159692058,19,11.946527999010868,8.597337082901504,3415,59912760,616.546875,19,all_europe,16,0.5935460902633225,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,0.5,regression,GradientBoosting,19,0.0035923784645146,0.0566730414324058,0.0080288159692058,19,11.946527999010868,8.597337082901504,3415,59912760,616.546875,19,without_lithuania,15,0.6158722149462471,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,0.5,regression,LightGBM,19,0.0044880805321917,0.0699732556780361,0.007829022712425,19,11.946527999010868,8.597337082901504,3415,59912760,616.546875,19,all_europe,16,0.5974002000494822,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,0.5,regression,LightGBM,19,0.0044880805321917,0.0699732556780361,0.007829022712425,19,11.946527999010868,8.597337082901504,3415,59912760,616.546875,19,without_lithuania,15,0.6209734857364618,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,1.0,classification,LogReg,19,0.0023671401399965,0.0323028954416446,0.0266474062772241,19,10.702679746085778,7.461734500015154,918,16105392,659.890625,19,all_europe,11,0.4121009677786943,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,1.0,classification,LogReg,19,0.0023671401399965,0.0323028954416446,0.0266474062772241,19,10.702679746085778,7.461734500015154,918,16105392,659.890625,19,without_lithuania,10,0.4052744082384524,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,1.0,classification,RandForest,19,0.0035676893234032,0.0239596796759448,0.0277792470779565,19,10.702679746085778,7.461734500015154,918,16105392,659.890625,19,all_europe,11,0.4339169756299024,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,1.0,classification,RandForest,19,0.0035676893234032,0.0239596796759448,0.0277792470779565,19,10.702679746085778,7.461734500015154,918,16105392,659.890625,19,without_lithuania,10,0.489754424556859,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,1.0,regression,GradientBoosting,19,0.0095905523349282,0.1022271864404458,0.0298896784844498,19,10.702679746085778,7.461734500015154,918,16105392,659.890625,19,all_europe,16,0.5820974317743126,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,1.0,regression,GradientBoosting,19,0.0095905523349282,0.1022271864404458,0.0298896784844498,19,10.702679746085778,7.461734500015154,918,16105392,659.890625,19,without_lithuania,15,0.6036187132580133,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,1.0,regression,LightGBM,19,0.0101424794865922,0.1131755924971306,0.0200466177446546,19,10.702679746085778,7.461734500015154,918,16105392,659.890625,19,all_europe,16,0.5906574690113184,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,1.0,regression,LightGBM,19,0.0101424794865922,0.1131755924971306,0.0200466177446546,19,10.702679746085778,7.461734500015154,918,16105392,659.890625,19,without_lithuania,15,0.6140858565959235,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,2.0,classification,LogReg,19,0.0034905201750122,0.0189626034668222,0.0569618459899482,19,10.564603331149556,6.860124834929593,266,4666704,652.625,19,all_europe,11,0.4198944713377945,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,2.0,classification,LogReg,19,0.0034905201750122,0.0189626034668222,0.0569618459899482,19,10.564603331149556,6.860124834929593,266,4666704,652.625,19,without_lithuania,10,0.4133924339635622,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,2.0,classification,RandForest,19,0.0032528377080096,0.0203316850218842,0.0302946761118827,19,10.564603331149556,6.860124834929593,266,4666704,652.625,19,all_europe,11,0.4397444529482021,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,2.0,classification,RandForest,19,0.0032528377080096,0.0203316850218842,0.0302946761118827,19,10.564603331149556,6.860124834929593,266,4666704,652.625,19,without_lithuania,10,0.5023959695735316,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,2.0,regression,GradientBoosting,19,0.0130108212953787,0.0785231202656462,0.0341462594752114,19,10.564603331149556,6.860124834929593,266,4666704,652.625,19,all_europe,16,0.5743630121875238,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,2.0,regression,GradientBoosting,19,0.0130108212953787,0.0785231202656462,0.0341462594752114,19,10.564603331149556,6.860124834929593,266,4666704,652.625,19,without_lithuania,15,0.5977425189082543,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,2.0,regression,LightGBM,19,0.0162432470462158,0.1041498018855647,0.0525042259880113,19,10.564603331149556,6.860124834929593,266,4666704,652.625,19,all_europe,16,0.5743576706415464,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,2.0,regression,LightGBM,19,0.0162432470462158,0.1041498018855647,0.0525042259880113,19,10.564603331149556,6.860124834929593,266,4666704,652.625,19,without_lithuania,15,0.5988184207362447,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
